# lockfree_flip_benchmark MEASURED RUN  W=8 R=4 writes/round=2000 K=30 warmup=2 variant=disjoint arm_select=Both eviction=true
csv_header,arm,round,is_warmup,write_ops,elapsed_secs,write_ops_per_sec,read_ops,checkpoint_rounds,ckpt_pause_mean_us,ckpt_pause_p99_us,write_p50_us,write_p99_us,write_p999_us,cas_retries,peak_rss_kib,round_dir_bytes,variant,durability,evictable_node_count
csv,control,17,0,16000,3.914915,4086.9,648541,40,48719.8,149229.4,618.7,41912.8,115339.7,0,2104792,89180192,disjoint,Immediate,114410
csv,treatment,17,0,16000,1.791813,8929.5,30405274,15,112102.0,422613.7,647.2,7637.2,16452.8,76,2104792,63752009,disjoint,Immediate,262126
csv,control,18,0,16000,3.787440,4224.5,370822,40,65233.8,163890.0,59.6,48425.2,156991.3,0,2104792,143241264,disjoint,Immediate,184122
csv,treatment,18,0,16000,0.943316,16961.4,23099233,10,83405.9,269118.7,351.5,2183.9,7456.2,103,2104792,43304612,disjoint,Immediate,239941
csv,treatment,19,0,16000,1.023308,15635.6,20167130,11,101737.8,331846.4,335.6,3433.2,10432.5,158,2104792,57984709,disjoint,Immediate,300115
csv,control,19,0,16000,5.870245,2725.6,7993,40,125094.1,273819.3,58.6,116740.7,267553.3,0,2104792,290011773,disjoint,Immediate,283911
csv,treatment,20,0,16000,0.889028,17997.2,14254902,10,81908.9,284972.4,298.5,2256.0,6233.1,96,2104792,43042468,disjoint,Immediate,248750
csv,control,20,0,16000,5.640422,2836.7,8000,40,118901.6,267320.0,60.8,116212.6,258077.5,0,2104792,296056915,disjoint,Immediate,278433
csv,control,21,0,16000,5.627536,2843.2,7996,40,118455.9,259844.8,61.3,115834.3,251065.5,0,2104792,296853618,disjoint,Immediate,274978
csv,treatment,21,0,16000,0.852754,18762.7,13899328,9,76390.6,241206.3,299.0,1976.7,5562.4,104,2104792,35964547,disjoint,Immediate,223520
csv,control,22,0,16000,6.356183,2517.2,7866,40,139318.0,285880.5,57.0,123134.9,275602.0,0,2104792,330826912,disjoint,Immediate,310921
csv,treatment,22,0,16000,0.886057,18057.5,14860236,10,80105.0,287741.8,319.4,2035.9,6333.5,162,2104792,41469604,disjoint,Immediate,238418
csv,treatment,23,0,16000,0.966281,16558.3,15576332,11,101313.8,349688.7,334.5,1914.5,5634.2,432,2104792,57198277,disjoint,Immediate,310993
csv,control,23,0,16000,6.128724,2610.7,7987,40,132630.2,279938.6,59.4,129846.3,265421.6,0,2104792,324835768,disjoint,Immediate,298108
csv,treatment,24,0,16000,0.999983,16000.3,16678319,10,87330.6,277538.9,331.3,2035.1,8700.2,456,2104792,41993892,disjoint,Immediate,236927
