# lockfree_flip_benchmark MEASURED RUN  W=8 R=4 writes/round=2000 K=30 warmup=2 variant=disjoint arm_select=Both eviction=true evict_real=true
csv_header,arm,round,is_warmup,write_ops,elapsed_secs,write_ops_per_sec,read_ops,checkpoint_rounds,ckpt_pause_mean_us,ckpt_pause_p99_us,write_p50_us,write_p99_us,write_p999_us,cas_retries,peak_rss_kib,round_dir_bytes,variant,durability,evictable_node_count,overlay_reclaimed_nodes,evict_bytes_nominal,faultin_count
csv,treatment,15,0,16000,0.954432,16763.9,15153767,6,176162.0,348409.8,337.0,2262.2,9169.8,361,1817008,64209889,disjoint,Immediate,338491,54,13824,0
csv,control,15,0,16000,8.732084,1832.3,7980,37,212812.7,384768.8,58.2,185419.7,334532.6,0,1882012,472395368,disjoint,Immediate,386034,0,0,0
csv,control,16,0,16000,8.245575,1940.4,7998,36,205585.3,389225.5,60.1,171016.4,355273.4,0,2020660,435702943,disjoint,Immediate,383405,0,0,0
csv,treatment,16,0,16000,0.886067,18057.3,13978401,5,167654.6,302360.4,286.2,2159.9,6476.3,246,2020660,50840512,disjoint,Immediate,292587,74,18944,0
csv,control,17,0,16000,8.497345,1882.9,7998,37,206376.7,353052.9,60.4,178123.4,340841.7,0,2271700,459816544,disjoint,Immediate,384665,0,0,0
csv,treatment,17,0,16000,0.893579,17905.5,18768653,5,172697.3,308732.6,309.3,1951.5,6798.2,224,2271700,51626944,disjoint,Immediate,298210,74,18944,0
csv,control,18,0,16000,8.885913,1800.6,7999,38,210705.2,350064.2,61.0,168637.8,344749.9,0,2271700,476064992,disjoint,Immediate,386159,0,0,0
csv,treatment,18,0,16000,0.900255,17772.7,16731411,5,169744.3,301179.7,303.3,2091.2,6496.1,243,2271700,51102656,disjoint,Immediate,294048,53,13568,0
csv,treatment,19,0,16000,0.853040,18756.5,13540466,5,170035.4,309820.4,299.2,1800.5,5562.1,186,2271700,51889088,disjoint,Immediate,303198,72,18432,0
csv,control,19,0,16000,7.883679,2029.5,7990,34,207292.0,360198.1,58.0,164976.9,339434.8,0,2408472,416304246,disjoint,Immediate,383272,0,0,0
csv,treatment,20,0,16000,0.886829,18041.8,15386320,5,167218.3,301731.7,414.9,1547.2,8919.6,219,2408472,50054080,disjoint,Immediate,289279,59,15104,0
csv,control,20,0,16000,7.774700,2058.0,7971,33,211255.1,358312.3,58.3,160289.5,342135.1,0,2408472,413678416,disjoint,Immediate,384930,0,0,0
csv,control,21,0,16000,8.905770,1796.6,7998,38,211384.5,364306.2,60.3,189146.6,340362.3,0,2613484,485499682,disjoint,Immediate,386950,0,0,0
csv,treatment,21,0,16000,1.013731,15783.3,17733530,6,200039.4,380791.9,362.6,1945.1,9126.6,503,2613484,68142049,disjoint,Immediate,360909,60,15360,0
csv,control,22,0,16000,7.956844,2010.8,7974,34,210792.3,354302.2,57.1,157510.2,341600.0,0,2613484,428617489,disjoint,Immediate,385983,0,0,0
csv,treatment,22,0,16000,1.006033,15904.1,16141210,6,201765.3,388371.9,350.8,1941.5,9867.2,494,2613484,67879905,disjoint,Immediate,362479,62,15872,0
csv,treatment,23,0,16000,0.967144,16543.6,16886563,6,212765.0,411872.7,290.7,2376.4,9418.7,247,2613484,70239201,disjoint,Immediate,389411,56,14336,0
csv,control,23,0,16000,8.490450,1884.5,7987,36,212083.3,354940.9,60.4,177104.4,347011.4,0,2613484,450643968,disjoint,Immediate,383848,0,0,0
csv,treatment,24,0,16000,0.892398,17929.2,15028298,5,170370.1,314507.7,403.9,1699.3,6186.9,177,2613484,50578368,disjoint,Immediate,290167,79,20224,0
csv,control,24,0,16000,8.518564,1878.3,7994,36,213330.9,355724.2,56.8,179916.3,336896.5,0,2613484,460858960,disjoint,Immediate,386725,0,0,0
csv,control,25,0,16000,8.023535,1994.1,7996,35,205602.0,364161.7,57.7,161137.3,356837.7,0,2613484,445128136,disjoint,Immediate,387459,0,0,0
csv,treatment,25,0,16000,0.986106,16225.4,17309365,6,197277.4,383412.8,351.1,2182.2,7364.3,411,2613484,67879905,disjoint,Immediate,363072,60,15360,0
csv,control,26,0,16000,8.712476,1836.4,7999,37,212045.7,352030.4,59.2,182691.2,340695.5,0,2613484,465846653,disjoint,Immediate,384189,0,0,0
csv,treatment,26,0,16000,0.842021,19001.9,13526542,5,169139.3,320777.2,296.4,2023.9,6508.8,115,2613484,51102656,disjoint,Immediate,300675,59,15104,0
csv,control,27,0,16000,8.418682,1900.5,23944,36,209841.9,364536.3,58.4,180597.2,338967.9,0,2613484,450112593,disjoint,Immediate,386199,0,0,0
