# lockfree_flip_benchmark MEASURED RUN  W=8 R=4 writes/round=2000 K=30 warmup=2 variant=contended arm_select=Both eviction=true
csv_header,arm,round,is_warmup,write_ops,elapsed_secs,write_ops_per_sec,read_ops,checkpoint_rounds,ckpt_pause_mean_us,ckpt_pause_p99_us,write_p50_us,write_p99_us,write_p999_us,cas_retries,peak_rss_kib,round_dir_bytes,variant,durability,evictable_node_count
csv,control,18,0,16000,4.373849,3658.1,0,40,88830.7,178215.5,57.6,80715.6,170396.9,0,1541064,219972993,contended,Immediate,201658
csv,treatment,18,0,16000,1.121253,14269.8,0,14,73476.6,226348.6,493.0,2875.8,9511.7,84,1541064,54094720,contended,Immediate,202726
csv,treatment,19,0,16000,1.163368,13753.2,0,15,65200.9,190842.7,381.1,3314.3,7216.7,161,1541064,53308321,contended,Immediate,195603
csv,control,19,0,16000,4.463776,3584.4,0,40,91826.9,179438.8,58.8,83170.0,168907.1,0,1541064,224665600,contended,Immediate,207260
csv,treatment,20,0,16000,1.048003,15267.1,0,14,68484.3,201770.0,486.2,1641.3,7040.5,26,1541064,53308288,contended,Immediate,202934
csv,control,20,0,16000,4.104515,3898.1,0,40,82020.1,173920.6,59.6,78040.3,158324.3,0,1541064,211590748,contended,Immediate,200276
csv,control,21,0,16000,4.228960,3783.4,0,40,84541.6,166400.9,59.7,81485.0,164161.0,0,1541064,213711185,contended,Immediate,195247
csv,treatment,21,0,16000,1.021462,15663.8,0,14,57383.7,169868.6,471.1,1798.6,6099.1,71,1541064,48327552,contended,Immediate,181283
csv,control,22,0,16000,4.350212,3678.0,0,40,89050.1,183590.9,58.0,76410.3,161522.2,0,1541064,223876696,contended,Immediate,207789
csv,treatment,22,0,16000,1.021067,15669.9,0,14,65612.9,197560.7,446.8,1872.5,6764.0,117,1541064,52259712,contended,Immediate,200607
csv,treatment,23,0,16000,1.069454,14960.9,0,15,64850.4,191774.2,354.4,2351.3,7808.0,191,1541064,58813345,contended,Immediate,207342
csv,control,23,0,16000,4.132848,3871.4,0,40,82250.2,173449.7,59.5,78704.4,163753.9,0,1541064,206891851,contended,Immediate,196017
csv,treatment,24,0,16000,1.030716,15523.2,0,14,66763.1,195771.6,481.0,1582.5,7418.5,43,1541064,53046144,contended,Immediate,202797
csv,control,24,0,16000,4.173510,3833.7,0,40,82952.0,166824.9,57.8,84625.8,158816.7,0,1541064,211099640,contended,Immediate,193115
csv,control,25,0,16000,4.356331,3672.8,0,40,88620.2,181939.1,61.0,85347.7,166086.9,0,1541064,225733507,contended,Immediate,203087
csv,treatment,25,0,16000,1.104508,14486.1,0,15,67921.8,200878.1,495.9,2138.3,7064.5,140,1541064,58026913,contended,Immediate,207858
csv,control,26,0,16000,4.097466,3904.9,0,40,81308.8,171182.6,59.3,76694.6,157159.0,0,1541064,208206929,contended,Immediate,195091
csv,treatment,26,0,16000,1.014930,15764.6,0,14,62886.0,191970.8,466.3,1837.8,6406.3,66,1541064,51473280,contended,Immediate,194812
csv,control,27,0,16000,4.258638,3757.1,0,40,85795.4,168489.2,59.7,83368.9,160917.4,0,1541064,216570307,contended,Immediate,200536
csv,treatment,27,0,16000,1.042125,15353.2,0,14,62021.2,183510.9,470.1,2017.8,5760.8,122,1541064,48327552,contended,Immediate,188266
csv,control,28,0,16000,4.225233,3786.8,0,39,88305.2,173727.7,58.1,81355.6,157374.9,0,1541064,223365907,contended,Immediate,204869
csv,treatment,28,0,16000,1.047122,15280.0,0,14,62209.6,181624.2,489.0,1973.1,6491.9,114,1541064,49376128,contended,Immediate,187362
csv,treatment,29,0,16000,1.038405,15408.2,0,14,63251.1,183321.7,492.4,1875.4,6708.6,80,1541064,50686848,contended,Immediate,193269
csv,control,29,0,16000,4.251170,3763.7,0,40,85385.9,163160.1,59.8,80991.8,160379.2,0,1541064,217107257,contended,Immediate,197813
csv,treatment,30,0,16000,1.072253,14921.9,0,15,62688.5,184219.2,497.2,1969.8,7346.7,122,1541064,56978337,contended,Immediate,201859
csv,control,30,0,16000,4.192244,3816.6,0,40,83886.6,164284.3,58.7,79084.5,162157.5,0,1541064,214740245,contended,Immediate,199474
csv,control,31,0,16000,4.245028,3769.1,0,40,84188.5,159130.9,60.8,84473.2,157288.2,0,1541064,213212835,contended,Immediate,189643
csv,treatment,31,0,16000,1.020691,15675.7,0,14,68747.0,203188.1,479.1,1772.5,6996.3,55,1541064,54619008,contended,Immediate,208862
# MEASURED RUN COMPLETE
