symbol	group	feature	return_type	parameters	julia_wrapper	julia_return_type	julia_parameter_types	abi_version	api_revision
ldict_dictionary_insert_text_value	crud-text		LdictStatus	dictionary:LdictDictionary*:input-output:borrowed-handle;data:const uint8_t*:input:call-borrowed;len:size_t:input:value;value:uint64_t:input:value;has_value:uint8_t:input:value;out_inserted:uint8_t*:output:caller-owned-storage	abi_ldict_dictionary_insert_text_value	Cint	Ptr{Cvoid};Ptr{UInt8};Csize_t;UInt64;UInt8;Ref{UInt8}	1	6
ldict_dictionary_remove_text	crud-text		LdictStatus	dictionary:LdictDictionary*:input-output:borrowed-handle;data:const uint8_t*:input:call-borrowed;len:size_t:input:value;out_removed:uint8_t*:output:caller-owned-storage	abi_ldict_dictionary_remove_text	Cint	Ptr{Cvoid};Ptr{UInt8};Csize_t;Ref{UInt8}	1	6
ldict_dictionary_contains_text	crud-text		LdictStatus	dictionary:const LdictDictionary*:input:borrowed-handle;data:const uint8_t*:input:call-borrowed;len:size_t:input:value;out_contains:uint8_t*:output:caller-owned-storage	abi_ldict_dictionary_contains_text	Cint	Ptr{Cvoid};Ptr{UInt8};Csize_t;Ref{UInt8}	1	6
ldict_dictionary_get_text	crud-text		LdictStatus	dictionary:const LdictDictionary*:input:borrowed-handle;data:const uint8_t*:input:call-borrowed;len:size_t:input:value;out_found:uint8_t*:output:caller-owned-storage;out_value:LdictOptionalU64*:output:caller-owned-storage	abi_ldict_dictionary_get_text	Cint	Ptr{Cvoid};Ptr{UInt8};Csize_t;Ref{UInt8};Ref{OptionalU64}	1	6
ldict_dictionary_get_text_value	crud-text		LdictStatus	dictionary:const LdictDictionary*:input:borrowed-handle;data:const uint8_t*:input:call-borrowed;len:size_t:input:value;out_found:uint8_t*:output:caller-owned-storage;out_value:uint64_t*:output:caller-owned-storage;out_has_value:uint8_t*:output:caller-owned-storage	abi_ldict_dictionary_get_text_value	Cint	Ptr{Cvoid};Ptr{UInt8};Csize_t;Ref{UInt8};Ref{UInt64};Ref{UInt8}	1	6
ldict_dictionary_insert_u64	crud-u64		LdictStatus	dictionary:LdictDictionary*:input-output:borrowed-handle;data:const uint64_t*:input:call-borrowed;len:size_t:input:value;value:LdictOptionalU64:input:value;out_inserted:uint8_t*:output:caller-owned-storage	abi_ldict_dictionary_insert_u64	Cint	Ptr{Cvoid};Ptr{UInt64};Csize_t;OptionalU64;Ref{UInt8}	1	6
ldict_dictionary_insert_u64_value	crud-u64		LdictStatus	dictionary:LdictDictionary*:input-output:borrowed-handle;data:const uint64_t*:input:call-borrowed;len:size_t:input:value;value:uint64_t:input:value;has_value:uint8_t:input:value;out_inserted:uint8_t*:output:caller-owned-storage	abi_ldict_dictionary_insert_u64_value	Cint	Ptr{Cvoid};Ptr{UInt64};Csize_t;UInt64;UInt8;Ref{UInt8}	1	6
ldict_dictionary_remove_u64	crud-u64		LdictStatus	dictionary:LdictDictionary*:input-output:borrowed-handle;data:const uint64_t*:input:call-borrowed;len:size_t:input:value;out_removed:uint8_t*:output:caller-owned-storage	abi_ldict_dictionary_remove_u64	Cint	Ptr{Cvoid};Ptr{UInt64};Csize_t;Ref{UInt8}	1	6
ldict_dictionary_contains_u64	crud-u64		LdictStatus	dictionary:const LdictDictionary*:input:borrowed-handle;data:const uint64_t*:input:call-borrowed;len:size_t:input:value;out_contains:uint8_t*:output:caller-owned-storage	abi_ldict_dictionary_contains_u64	Cint	Ptr{Cvoid};Ptr{UInt64};Csize_t;Ref{UInt8}	1	6
ldict_dictionary_get_u64	crud-u64		LdictStatus	dictionary:const LdictDictionary*:input:borrowed-handle;data:const uint64_t*:input:call-borrowed;len:size_t:input:value;out_found:uint8_t*:output:caller-owned-storage;out_value:LdictOptionalU64*:output:caller-owned-storage	abi_ldict_dictionary_get_u64	Cint	Ptr{Cvoid};Ptr{UInt64};Csize_t;Ref{UInt8};Ref{OptionalU64}	1	6
ldict_dictionary_get_u64_value	crud-u64		LdictStatus	dictionary:const LdictDictionary*:input:borrowed-handle;data:const uint64_t*:input:call-borrowed;len:size_t:input:value;out_found:uint8_t*:output:caller-owned-storage;out_value:uint64_t*:output:caller-owned-storage;out_has_value:uint8_t*:output:caller-owned-storage	abi_ldict_dictionary_get_u64_value	Cint	Ptr{Cvoid};Ptr{UInt64};Csize_t;Ref{UInt8};Ref{UInt64};Ref{UInt8}	1	6
ldict_scdawg_contains_substring	substring		LdictStatus	dictionary:const LdictDictionary*:input:borrowed-handle;data:const uint8_t*:input:call-borrowed;len:size_t:input:value;out_contains:uint8_t*:output:caller-owned-storage	abi_ldict_scdawg_contains_substring	Cint	Ptr{Cvoid};Ptr{UInt8};Csize_t;Ref{UInt8}	1	6
ldict_scdawg_substring_frequency	substring		LdictStatus	dictionary:const LdictDictionary*:input:borrowed-handle;data:const uint8_t*:input:call-borrowed;len:size_t:input:value;out_frequency:size_t*:output:caller-owned-storage	abi_ldict_scdawg_substring_frequency	Cint	Ptr{Cvoid};Ptr{UInt8};Csize_t;Ref{Csize_t}	1	6
ldict_dictionary_insert_text_batch	batch		LdictStatus	dictionary:LdictDictionary*:input-output:borrowed-handle;entries:const LdictTextEntry*:input:call-borrowed;entry_count:size_t:input:value;out_inserted:size_t*:output:caller-owned-storage	abi_ldict_dictionary_insert_text_batch	Cint	Ptr{Cvoid};Ptr{TextEntry};Csize_t;Ref{Csize_t}	1	6
ldict_dictionary_insert_u64_batch	batch		LdictStatus	dictionary:LdictDictionary*:input-output:borrowed-handle;entries:const LdictU64Entry*:input:call-borrowed;entry_count:size_t:input:value;out_inserted:size_t*:output:caller-owned-storage	abi_ldict_dictionary_insert_u64_batch	Cint	Ptr{Cvoid};Ptr{U64Entry};Csize_t;Ref{Csize_t}	1	6
