# path	kind	pattern	count	contract
src/persistent_vocab_artrie/disk_io.rs	unsafe_block	unsafe {	2	vocab-disk-box-ownership
src/persistent_vocab_artrie/disk_io.rs	unsafe_fn	unsafe fn rebuild_node_map_and_parents(	1	vocab-disk-node-map-rebuild-contract
src/persistent_vocab_artrie/io_uring_ctor.rs	unsafe_block	VocabTrieRoot::Node(unsafe { Box::from_raw(root_ptr) }),	1	vocab-io-uring-root-box-reclaim
src/persistent_vocab_artrie/io_uring_ctor.rs	unsafe_block	let root = VocabTrieRoot::Node(unsafe { Box::from_raw(root_ptr) });	1	vocab-io-uring-root-box-reclaim
src/persistent_vocab_artrie/lockfree.rs	unsafe_impl	unsafe impl Send for LockFreeVocab {}	1	vocab-lockfree-thread-contract
src/persistent_vocab_artrie/lockfree.rs	unsafe_impl	unsafe impl Sync for LockFreeVocab {}	1	vocab-lockfree-thread-contract
src/persistent_vocab_artrie/mmap_ctor.rs	unsafe_block	VocabTrieRoot::Node(unsafe { Box::from_raw(root_ptr) }),	1	vocab-mmap-root-box-reclaim
src/persistent_vocab_artrie/mmap_ctor.rs	unsafe_block	let root = VocabTrieRoot::Node(unsafe { Box::from_raw(root_ptr) });	1	vocab-mmap-root-box-reclaim
src/persistent_vocab_artrie/mod.rs	unsafe_block	let node = unsafe { &mut *current };	1	vocab-public-node-mutation
src/persistent_vocab_artrie/mod.rs	unsafe_block	let parent = unsafe { &mut *current };	1	vocab-public-node-mutation
src/persistent_vocab_artrie/mod.rs	unsafe_block	let target = unsafe { &*target_raw };	1	vocab-eviction-target-reference
src/persistent_vocab_artrie/mod.rs	unsafe_block	unsafe {	1	vocab-eviction-child-drop
src/persistent_vocab_artrie/query_api.rs	unsafe_block	Some(&ptr) => current = unsafe { &*ptr },	1	vocab-query-node-map-traversal
src/persistent_vocab_artrie/query_api.rs	unsafe_block	let node = unsafe { &*node_ptr };	1	vocab-query-node-map-traversal
src/persistent_vocab_artrie/reverse_index.rs	unsafe_block	let mmap = unsafe {	1	vocab-reverse-index-map-lifetime
